FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
17161,Rock Island County,IL,23.6,110321.0
13181,Lincoln County,GA,4.7,6444.0
34037,Sussex County,NJ,21.0,113243.0
28025,Clay County,MS,18.7,14994.0
27099,Mower County,MN,26.4,30015.0
28153,Wayne County,MS,14.4,15280.0
02060,Bristol Bay Borough,AK,50.7,687.0
05067,Jackson County,AR,17.5,13358.0
47041,DeKalb County,TN,16.3,16088.0
27061,Itasca County,MN,27.7,35785.0
37021,Buncombe County,NC,24.8,213777.0
28155,Webster County,MS,21.4,7410.0
48433,Stonewall County,TX,0.0,1047.0
17051,Fayette County,IL,14.6,16898.0
36071,Orange County,NY,19.0,286940.0
39159,Union County,OH,17.4,44532.0
50013,Grand Isle County,VT,21.9,5933.0
21185,Oldham County,KY,22.0,49858.0
42067,Juniata County,PA,17.9,19221.0
36065,Oneida County,NY,27.4,179973.0
05129,Searcy County,AR,14.8,6342.0
17073,Henry County,IL,24.3,38104.0
18057,Hamilton County,IN,27.0,248016.0
05047,Franklin County,AR,21.8,13756.0
21115,Johnson County,KY,23.0,17269.0
47093,Knox County,TN,19.0,372028.0
18111,Newton County,IN,13.0,11065.0
47185,White County,TN,18.1,21387.0
53067,Thurston County,WA,22.7,228828.0
30099,Teton County,MT,19.6,4650.0
47117,Marshall County,TN,15.7,26435.0
47183,Weakley County,TN,14.9,26917.0
30007,Broadwater County,MT,17.1,5013.0
22009,Avoyelles Parish,LA,15.0,30733.0
48449,Titus County,TX,0.0,23357.0
18011,Boone County,IN,28.7,50221.0
29083,Henry County,MO,20.9,17065.0
51023,Botetourt County,VA,9.8,27117.0
55035,Eau Claire County,WI,28.2,83560.0
55099,Price County,WI,22.9,10955.0
42079,Luzerne County,PA,23.9,254741.0
48087,Collingsworth County,TX,0.0,2190.0
48279,Lamb County,TX,0.0,9343.0
48389,Reeves County,TX,0.0,12395.0
54045,Logan County,WV,18.2,25443.0
51021,Bland County,VA,3.5,5341.0
53003,Asotin County,WA,19.2,18058.0
48003,Andrews County,TX,0.0,12902.0
48387,Red River County,TX,0.0,9670.0
72153,Yauco Municipio,PR,17.1,27554.0
48361,Orange County,TX,0.0,62744.0
36027,Dutchess County,NY,19.3,239328.0
01071,Jackson County,AL,18.2,40943.0
17019,Champaign County,IL,29.2,170397.0
45051,Horry County,SC,21.8,291882.0
55017,Chippewa County,WI,26.5,50522.0
30053,Lincoln County,MT,19.0,16403.0
25021,Norfolk County,MA,24.7,560181.0
22101,St. Mary Parish,LA,18.5,37551.0
51031,Campbell County,VA,7.2,44243.0
72085,Las Piedras Municipio,PR,12.0,30370.0
28059,Jackson County,MS,18.5,110445.0
27137,St. Louis County,MN,30.0,161450.0
28121,Rankin County,MS,23.4,119874.0
31049,Deuel County,NE,5.0,1404.0
05095,Monroe County,AR,15.8,5328.0
46127,Union County,SD,20.7,12054.0
25017,Middlesex County,MA,22.5,1296083.0
30061,Mineral County,MT,23.4,3597.0
08093,Park County,CO,2.0,16017.0
20051,Ellis County,KS,21.7,22516.0
31109,Lancaster County,NE,24.9,246901.0
01125,Tuscaloosa County,AL,14.3,165385.0
49009,Daggett County,UT,17.8,736.0
31015,Boyd County,NE,11.4,1564.0
18077,Jefferson County,IN,24.3,25712.0
55005,Barron County,WI,23.6,35535.0
49031,Piute County,UT,14.1,1123.0
13061,Clay County,GA,9.0,2287.0
22075,Plaquemines Parish,LA,26.3,17221.0
17043,DuPage County,IL,22.6,715343.0
21217,Taylor County,KY,13.3,19994.0
19011,Benton County,IA,26.2,19698.0
56029,Park County,WY,25.6,23235.0
47069,Hardeman County,TN,17.8,20280.0
41023,Grant County,OR,13.5,5931.0
36039,Greene County,NY,17.0,39542.0
32017,Lincoln County,NV,20.4,4161.0
05107,Phillips County,AR,15.7,13206.0
29111,Lewis County,MO,20.3,7617.0
21025,Breathitt County,KY,19.9,10003.0
02020,Anchorage Municipality,AK,32.3,218802.0
31097,Johnson County,NE,17.8,4120.0
13099,Early County,GA,4.5,7657.0
48235,Irion County,TX,0.0,1190.0
48225,Houston County,TX,0.0,18428.0
72145,Vega Baja Municipio,PR,14.6,41052.0
05145,White County,AR,17.1,60632.0
56003,Big Horn County,WY,22.2,8895.0
27129,Renville County,MN,28.2,11162.0
41005,Clackamas County,OR,19.0,329370.0
50011,Franklin County,VT,10.1,38568.0
48199,Hardin County,TX,0.0,43549.0
37139,Pasquotank County,NC,25.9,31068.0
08035,Douglas County,CO,0.5,262787.0
51700,Newport News city,VA,10.9,137743.0
20057,Ford County,KS,18.3,23599.0
46035,Davison County,SD,10.8,15222.0
